"","id","sp","trait"
"3","847031","spp_1695",0.706548936665058
"5","607262","spp_1215",0.830293847480789
"7","907975","spp_1816",0.769710869994015
"10","572523","spp_1146",0.759108844678849
"11","76746","spp_154",0.685003595659509
"12","812131","spp_1625",0.737076610326767
"17","839859","spp_1680",0.65455293818377
"22","698069","spp_1397",0.720225559780374
"23","629130","spp_1259",0.698363954434171
"25","639849","spp_1280",0.738370758714154
"26","750440","spp_1501",0.774510931922123
"35","175584","spp_352",0.833923214115202
"36","251735","spp_504",0.743847578298301
"38","683188","spp_1367",0.678481033537537
"39","195792","spp_392",0.67586388043128
"41","484036","spp_969",0.763961679534987
"42","513507","spp_1028",0.808409312972799
"43","904886","spp_1810",0.775770016713068
"45","163008","spp_327",0.700079584727064
"49","560507","spp_1122",0.833116437774152
"52","40077","spp_81",0.670397775480524
"54","131131","spp_263",0.818678463576362
"57","208655","spp_418",0.767102993326262
"63","605074","spp_1211",0.769788424251601
"64","724677","spp_1450",0.780475742183626
"66","993695","spp_1988",0.78246870264411
"71","499548","spp_1000",0.76292548305355
"72","535376","spp_1071",0.741194637259468
"73","601458","spp_1203",0.670331505825743
"75","992765","spp_1986",0.709479989949614
"79","18479","spp_37",0.72409436153248
"81","477787","spp_956",0.774274926166981
"82","907996","spp_1816",0.769710869994015
"83","182179","spp_365",0.796406594337896
"84","372520","spp_746",0.731161013478413
"85","175563","spp_352",0.833923214115202
"86","722852","spp_1446",0.706123156473041
"89","965583","spp_1932",0.736490911571309
"90","172482","spp_345",0.67561852815561
"91","203187","spp_407",0.78236980130896
"93","609280","spp_1219",0.810777517035604
"96","695475","spp_1391",0.710227504838258
"98","316572","spp_634",0.713340413291007
"100","326864","spp_654",0.771925941575319
"101","724514","spp_1450",0.780475742183626
"102","544711","spp_1090",0.829214639030397
"103","719177","spp_1439",0.653090975247324
"109","834043","spp_1669",0.785993603756651
"112","648670","spp_1298",0.854438115376979
"113","496438","spp_993",0.756990022957325
"114","784491","spp_1569",0.729035672964528
"115","635624","spp_1272",0.764427131973207
"118","303027","spp_607",0.819679541047662
"119","698073","spp_1397",0.720225559780374
"122","935356","spp_1871",0.760416097939014
"131","530983","spp_1062",0.697952583199367
"136","530805","spp_1062",0.697952583199367
"137","316572","spp_634",0.713340413291007
"148","947028","spp_1895",0.720775224734098
"149","812089","spp_1625",0.737076610326767
"151","280795","spp_562",0.826571321580559
"152","879169","spp_1759",0.766971070552245
"156","735057","spp_1471",0.758561538532376
"157","690022","spp_1381",0.695080079836771
"167","756576","spp_1514",0.716696648159996
"169","456029","spp_913",0.681256828131154
"171","441024","spp_883",0.820376392221078
"179","389821","spp_780",0.768279578536749
"182","168607","spp_338",0.717699769418687
"184","298663","spp_598",0.831983882235363
"185","749481","spp_1499",0.762673931661993
"186","189691","spp_380",0.766817635856569
"190","37165","spp_75",0.741025876952335
"191","623176","spp_1247",0.736262084916234
"192","664979","spp_1330",0.837176003027707
"193","971481","spp_1943",0.815962721593678
"195","904705","spp_1810",0.775770016713068
"197","930080","spp_1861",0.813333400757983
"198","920793","spp_1842",0.75991875352338
"200","744436","spp_1489",0.752756085013971
"203","373322","spp_747",0.643792103743181
"205","735181","spp_1471",0.758561538532376
"206","982305","spp_1965",0.795350914821029
"208","1283","spp_3",0.68492688680999
"210","311141","spp_623",0.761320275720209
"214","189509","spp_380",0.766817635856569
"218","125637","spp_252",0.776742729358375
"231","272455","spp_545",0.712772844592109
"232","644697","spp_1290",0.836585158715025
"240","574009","spp_1149",0.706547751789913
"241","411133","spp_823",0.658694709884003
"242","907758","spp_1816",0.769710869994015
"246","814799","spp_1630",0.731427780119702
"251","401341","spp_803",0.774902485311031
"258","935269","spp_1871",0.760416097939014
"260","429802","spp_860",0.785670985002071
"262","500770","spp_1002",0.756047263508663
"265","950210","spp_1901",0.704604828730226
"267","51179","spp_103",0.763306735083461
"271","925123","spp_1851",0.761586748529226
"273","698079","spp_1397",0.720225559780374
"276","959785","spp_1920",0.736438357038423
"278","766168","spp_1533",0.781219293829054
"284","220318","spp_441",0.699402615427971
"286","609900","spp_1220",0.678836449049413
"287","84281","spp_169",0.713842645986006
"290","131497","spp_263",0.818678463576362
"291","744436","spp_1489",0.752756085013971
"292","574320","spp_1149",0.706547751789913
"293","514663","spp_1030",0.721773928496987
"299","995578","spp_1992",0.636848345398903
"310","81906","spp_164",0.793153022648767
"311","104862","spp_210",0.645620426163077
"314","992594","spp_1986",0.709479989949614
"315","137150","spp_275",0.785415177233517
"317","655592","spp_1312",0.698146771173924
"324","823893","spp_1648",0.786885912762955
"325","326589","spp_654",0.771925941575319
"326","129056","spp_259",0.721098031615838
"327","615879","spp_1232",0.78140323353
"336","736124","spp_1473",0.726187121123075
"338","203320","spp_407",0.78236980130896
"343","512926","spp_1026",0.679870503256097
"344","990719","spp_1982",0.741787048755214
"346","973086","spp_1947",0.629570028511807
"353","460015","spp_921",0.818723431555554
"359","827020","spp_1655",0.787384784081951
"361","923056","spp_1847",0.756811425322667
"368","909879","spp_1820",0.726250952575356
"369","303495","spp_607",0.819679541047662
"371","372139","spp_745",0.742927369428799
"377","886332","spp_1773",0.746566077461466
"378","726718","spp_1454",0.766766512300819
"379","959934","spp_1920",0.736438357038423
"388","990627","spp_1982",0.741787048755214
"390","824964","spp_1650",0.802286092890427
"391","125540","spp_252",0.776742729358375
"393","64646","spp_130",0.813243135809898
"399","125766","spp_252",0.776742729358375
"401","378839","spp_758",0.747262474382296
"404","766084","spp_1533",0.781219293829054
"409","321586","spp_644",0.725224808324128
"412","646402","spp_1293",0.788700547534972
"414","845035","spp_1691",0.697953891707584
"416","703426","spp_1407",0.818376352079213
"418","975188","spp_1951",0.692615750944242
"421","51179","spp_103",0.763306735083461
"423","574390","spp_1149",0.706547751789913
"425","610168","spp_1221",0.782493418315426
"428","748016","spp_1497",0.819069653050974
"429","889936","spp_1780",0.748353618662804
"430","848427","spp_1697",0.733141971519217
"439","834218","spp_1669",0.785993603756651
"443","291617","spp_584",0.687818023608997
"444","560793","spp_1122",0.833116437774152
"446","12988","spp_26",0.711786750936881
"448","878732","spp_1758",0.755227337824181
"451","677219","spp_1355",0.828045527683571
"458","841183","spp_1683",0.676203860901296
"462","923381","spp_1847",0.756811425322667
"463","990670","spp_1982",0.741787048755214
"465","653483","spp_1307",0.844556881580502
"468","690492","spp_1381",0.695080079836771
"470","517497","spp_1035",0.759568985551596
"472","51179","spp_103",0.763306735083461
"473","144064","spp_289",0.644587314687669
"474","784411","spp_1569",0.729035672964528
"479","402723","spp_806",0.734338574344292
"484","295096","spp_591",0.845025937771425
"486","675061","spp_1351",0.742436353350058
"489","415092","spp_831",0.762752028182149
"493","218335","spp_437",0.702665623743087
"501","683076","spp_1367",0.678481033537537
"502","48855","spp_98",0.779315059538931
"504","925123","spp_1851",0.761586748529226
"508","695177","spp_1391",0.710227504838258
"510","295977","spp_592",0.813664824934676
"513","924039","spp_1849",0.718436494935304
"517","879282","spp_1759",0.766971070552245
"519","766164","spp_1533",0.781219293829054
"521","878664","spp_1758",0.755227337824181
"523","227717","spp_456",0.741840636124834
"525","965798","spp_1932",0.736490911571309
"528","779052","spp_1559",0.721410349709913
"529","548831","spp_1098",0.744412906235084
"532","333545","spp_668",0.687442696886137
"533","146165","spp_293",0.819428901886567
"536","484182","spp_969",0.763961679534987
"538","370757","spp_742",0.729402610333636
"540","337448","spp_675",0.806963298236951
"552","180747","spp_362",0.825194001663476
"555","18073","spp_37",0.72409436153248
"559","690201","spp_1381",0.695080079836771
"560","64237","spp_129",0.826304305577651
"563","975188","spp_1951",0.692615750944242
"564","128436","spp_257",0.760980155086145
"571","797255","spp_1595",0.793860183330253
"572","750440","spp_1501",0.774510931922123
"574","675290","spp_1351",0.742436353350058
"582","803474","spp_1607",0.765031371731311
"583","76544","spp_154",0.685003595659509
"586","859312","spp_1719",0.778405317571014
"587","142543","spp_286",0.684927211375907
"589","907624","spp_1816",0.769710869994015
"591","757987","spp_1516",0.69224288361147
"592","718173","spp_1437",0.846201143227518
"603","557391","spp_1115",0.729139554314315
"608","129269","spp_259",0.721098031615838
"611","88333","spp_177",0.863642536336556
"612","37414","spp_75",0.741025876952335
"620","943118","spp_1887",0.730963399866596
"621","878255","spp_1757",0.80435312143527
"622","797096","spp_1595",0.793860183330253
"626","351641","spp_704",0.710267593385652
"627","878193","spp_1757",0.80435312143527
"634","943049","spp_1887",0.730963399866596
"635","429501","spp_860",0.785670985002071
"639","106771","spp_214",0.610787614947185
"642","45564","spp_92",0.800731405615807
"646","762823","spp_1526",0.68565544905141
"650","633256","spp_1267",0.790637718513608
"652","400001","spp_801",0.625640716403723
"653","415092","spp_831",0.762752028182149
"655","628647","spp_1258",0.736446691676974
"658","63620","spp_128",0.643172316253185
"659","975132","spp_1951",0.692615750944242
"660","353579","spp_708",0.713184801861644
"661","142775","spp_286",0.684927211375907
"662","878732","spp_1758",0.755227337824181
"663","873377","spp_1747",0.724948146380484
"664","208511","spp_418",0.767102993326262
"667","76671","spp_154",0.685003595659509
"672","186956","spp_374",0.77325704228133
"673","441363","spp_883",0.820376392221078
"674","947136","spp_1895",0.720775224734098
"676","907996","spp_1816",0.769710869994015
"678","547429","spp_1095",0.813613774022087
"682","555588","spp_1112",0.747713733930141
"684","787059","spp_1575",0.719220426864922
"689","957460","spp_1915",0.674585429253057
"690","641647","spp_1284",0.741455717012286
"691","585305","spp_1171",0.785838677547872
"694","521480","spp_1043",0.621593469055369
"695","635731","spp_1272",0.764427131973207
"696","346165","spp_693",0.728487941203639
"697","45763","spp_92",0.800731405615807
"699","992957","spp_1986",0.709479989949614
"703","873111","spp_1747",0.724948146380484
"705","172385","spp_345",0.67561852815561
"713","141942","spp_284",0.661141329444945
"716","291585","spp_584",0.687818023608997
"721","857185","spp_1715",0.750799918547273
"722","500206","spp_1001",0.645130579126999
"724","509778","spp_1020",0.755591663531959
"729","348127","spp_697",0.709100055042654
"730","644964","spp_1290",0.836585158715025
"731","803206","spp_1607",0.765031371731311
"732","129117","spp_259",0.721098031615838
"733","993190","spp_1987",0.847780263982713
"736","832464","spp_1665",0.804609664715827
"740","372222","spp_745",0.742927369428799
"747","918027","spp_1837",0.732825273880735
"754","827360","spp_1655",0.787384784081951
"755","125571","spp_252",0.776742729358375
"757","935269","spp_1871",0.760416097939014
"760","988336","spp_1977",0.747713043121621
"766","908271","spp_1817",0.923783962382004
"767","929745","spp_1860",0.754145173588768
"769","806343","spp_1613",0.755133209517226
"770","648620","spp_1298",0.854438115376979
"772","857407","spp_1715",0.750799918547273
"773","268966","spp_538",0.743342543020844
"776","886294","spp_1773",0.746566077461466
"778","76419","spp_153",0.744395202724263
"781","557313","spp_1115",0.729139554314315
"782","40194","spp_81",0.670397775480524
"785","28496","spp_57",0.670282223727554
"787","346488","spp_693",0.728487941203639
"799","756989","spp_1514",0.716696648159996
"802","552153","spp_1105",0.795480963308364
"805","51486","spp_103",0.763306735083461
"806","666951","spp_1334",0.867841152707115
"812","744192","spp_1489",0.752756085013971
"813","194227","spp_389",0.761698957299814
"815","236577","spp_474",0.797686737962067
"817","295698","spp_592",0.813664824934676
"820","886076","spp_1773",0.746566077461466
"823","478769","spp_958",0.65749650564976
"825","992580","spp_1986",0.709479989949614
"827","450854","spp_902",0.727054596878588
"830","144340","spp_289",0.644587314687669
"831","44837","spp_90",0.799597081262618
"834","484387","spp_969",0.763961679534987
"835","757549","spp_1516",0.69224288361147
"836","744107","spp_1489",0.752756085013971
"839","857075","spp_1715",0.750799918547273
"842","628900","spp_1258",0.736446691676974
"845","326589","spp_654",0.771925941575319
"847","935458","spp_1871",0.760416097939014
"849","218247","spp_437",0.702665623743087
"852","857125","spp_1715",0.750799918547273
