"","id","sp","trait"
"2","648093","spp_1297",0.41437891847454
"4","432517","spp_866",0.446626431774348
"5","392299","spp_785",0.439047175692394
"7","508543","spp_1018",0.425308896461502
"10","673007","spp_1347",0.428651690483093
"11","885757","spp_1772",0.452795736724511
"15","959207","spp_1919",0.439915454946458
"17","538505","spp_1078",0.381311206379905
"22","529404","spp_1059",0.403337689582258
"23","731609","spp_1464",0.339527912205085
"26","815083","spp_1631",0.540884451474994
"29","717205","spp_1435",0.364045967813581
"30","912826","spp_1826",0.374086470110342
"31","87642","spp_176",0.478915230603889
"32","978950","spp_1958",0.459034962812439
"35","682524","spp_1366",0.362224606564268
"36","704379","spp_1409",0.439129052683711
"38","23910","spp_48",0.328738661948591
"39","110239","spp_221",0.461518431315199
"41","332372","spp_665",0.375678528333083
"48","731815","spp_1464",0.339527912205085
"49","871953","spp_1744",0.376892035827041
"53","537569","spp_1076",0.420440385350958
"54","527279","spp_1055",0.369244974572212
"56","865411","spp_1731",0.403372519416735
"58","756334","spp_1513",0.455060176318511
"59","275710","spp_552",0.372863520169631
"61","555058","spp_1111",0.477805404923856
"62","811420","spp_1623",0.405145169002935
"63","31037","spp_63",0.415302788838744
"64","405363","spp_811",0.322868141112849
"66","327202","spp_655",0.390918508404866
"71","780320","spp_1561",0.363238910678774
"73","510259","spp_1021",0.480980022344738
"75","154041","spp_309",0.42420625849627
"80","556737","spp_1114",0.427823302103207
"84","951898","spp_1904",0.430081611033529
"85","635466","spp_1271",0.457490257220343
"86","456982","spp_914",0.443080449011177
"88","327403","spp_655",0.390918508404866
"89","458046","spp_917",0.427249717293307
"92","84569","spp_170",0.410716709448025
"93","859614","spp_1720",0.378339441725984
"95","318916","spp_638",0.461126446258277
"96","228695","spp_458",0.409026453271508
"99","438459","spp_877",0.369774459162727
"100","59827","spp_120",0.397932325489819
"106","275852","spp_552",0.372863520169631
"107","190811","spp_382",0.422582371393219
"108","885757","spp_1772",0.452795736724511
"109","456573","spp_914",0.443080449011177
"113","710233","spp_1421",0.480110765900463
"116","379109","spp_759",0.347392746713012
"117","113943","spp_228",0.362558089662343
"118","542240","spp_1085",0.481345473788679
"120","612213","spp_1225",0.44724502088502
"121","503854","spp_1008",0.384457887150347
"122","343545","spp_688",0.387879765126854
"125","865101","spp_1731",0.403372519416735
"126","584077","spp_1169",0.351505522150546
"127","81222","spp_163",0.444623150629923
"130","755675","spp_1512",0.421014342689887
"133","846898","spp_1694",0.392554005375132
"134","645151","spp_1291",0.35604981915094
"136","172873","spp_346",0.351143214385957
"140","332194","spp_665",0.375678528333083
"143","334731","spp_670",0.310321782249957
"145","807096","spp_1615",0.377312563359737
"146","398713","spp_798",0.284870241302997
"151","4769","spp_10",0.532342084450647
"157","816291","spp_1633",0.340225962223485
"163","893270","spp_1787",0.415593885816634
"165","605868","spp_1212",0.428552407072857
"166","716953","spp_1434",0.430989499902353
"168","228695","spp_458",0.409026453271508
"170","42169","spp_85",0.360986853716895
"172","543050","spp_1087",0.392392940120772
"173","472152","spp_945",0.416330239269882
"174","543364","spp_1087",0.392392940120772
"177","732375","spp_1465",0.376035615568981
"180","422636","spp_846",0.390242689521983
"181","562568","spp_1126",0.409268469782546
"189","937682","spp_1876",0.379905195208266
"191","766932","spp_1534",0.429545355960727
"197","885737","spp_1772",0.452795736724511
"199","934294","spp_1869",0.404742210637778
"201","915074","spp_1831",0.36438875971362
"202","116416","spp_233",0.486162048997357
"204","190574","spp_382",0.422582371393219
"215","224624","spp_450",0.439331344561651
"218","224624","spp_450",0.439331344561651
"219","95533","spp_192",0.422803361434489
"227","24073","spp_49",0.429260856937617
"229","940189","spp_1881",0.420942024793476
"230","684231","spp_1369",0.459471857408062
"231","124948","spp_250",0.454220989486203
"232","490116","spp_981",0.390861162217334
"233","773254","spp_1547",0.440509623847902
"234","419744","spp_840",0.368727888679132
"238","673656","spp_1348",0.370349382050335
"243","811442","spp_1623",0.405145169002935
"244","472292","spp_945",0.416330239269882
"245","483922","spp_968",0.445242952089757
"246","241772","spp_484",0.363528111483902
"247","263106","spp_527",0.423308877041563
"250","584485","spp_1169",0.351505522150546
"251","490330","spp_981",0.390861162217334
"252","458245","spp_917",0.427249717293307
"254","127090","spp_255",0.44024863652885
"261","846584","spp_1694",0.392554005375132
"265","321198","spp_643",0.378489071968943
"268","361034","spp_723",0.483894718345255
"271","190375","spp_381",0.391308368183672
"278","448338","spp_897",0.419699385063723
"282","710460","spp_1421",0.480110765900463
"286","866668","spp_1734",0.471988331759349
"288","605875","spp_1212",0.428552407072857
"292","788751","spp_1578",0.374969307566062
"296","242434","spp_485",0.398941487073898
"302","342545","spp_686",0.327542260056362
"307","963885","spp_1928",0.455625544069335
"310","842400","spp_1685",0.372942218091339
"311","509296","spp_1019",0.432088878005743
"313","624258","spp_1249",0.45607492281124
"314","453201","spp_907",0.389689369592816
"315","24296","spp_49",0.429260856937617
"317","657672","spp_1316",0.363490921910852
"319","527492","spp_1055",0.369244974572212
"320","453143","spp_907",0.389689369592816
"321","527452","spp_1055",0.369244974572212
"325","88701","spp_178",0.361292689107358
"328","617077","spp_1235",0.332645846996456
"332","268433","spp_537",0.461602698778734
"335","915445","spp_1831",0.36438875971362
"336","677592","spp_1356",0.414845006307587
"337","422146","spp_845",0.430112786591053
"342","861025","spp_1723",0.358822154579684
"343","710233","spp_1421",0.480110765900463
"344","771228","spp_1543",0.4108604893554
"350","22007","spp_45",0.410225928295404
"352","754547","spp_1510",0.437638940988109
"353","153260","spp_307",0.389783077174798
"355","955806","spp_1912",0.429262409452349
"356","887297","spp_1775",0.389886275632307
"358","303917","spp_608",0.404341007582843
"360","306499","spp_613",0.350183507427573
"362","267439","spp_535",0.387282853247598
"363","357245","spp_715",0.358323369873688
"366","983409","spp_1967",0.365815511904657
"368","829206","spp_1659",0.283282096032053
"371","938926","spp_1878",0.486302195349708
"373","361034","spp_723",0.483894718345255
"375","959430","spp_1919",0.439915454946458
"376","632909","spp_1266",0.407327406108379
"381","306542","spp_614",0.408800775418058
"382","354866","spp_710",0.473055552924052
"383","427547","spp_856",0.332635909784585
"384","562728","spp_1126",0.409268469782546
"385","583265","spp_1167",0.481175686698407
"386","40636","spp_82",0.366981732659042
"387","673391","spp_1347",0.428651690483093
"389","793704","spp_1588",0.419518566457555
"391","769689","spp_1540",0.325231118360534
"392","50785","spp_102",0.420965239172801
"393","343294","spp_687",0.403081049211323
"397","715948","spp_1432",0.458899860968813
"398","837778","spp_1676",0.337778843706474
"399","927362","spp_1855",0.275777772767469
"400","116416","spp_233",0.486162048997357
"407","439423","spp_879",0.364738662960008
"421","154402","spp_309",0.42420625849627
"427","10759","spp_22",0.379753580549732
"428","816073","spp_1633",0.340225962223485
"431","912848","spp_1826",0.374086470110342
"436","667653","spp_1336",0.396804011892527
"439","439423","spp_879",0.364738662960008
"440","349263","spp_699",0.427898191614076
"441","912200","spp_1825",0.396001171553507
"442","983409","spp_1967",0.365815511904657
"445","866807","spp_1734",0.471988331759349
"447","959430","spp_1919",0.439915454946458
"449","541249","spp_1083",0.338983849389479
"452","829206","spp_1659",0.283282096032053
"453","846677","spp_1694",0.392554005375132
"455","897586","spp_1796",0.421134191332385
"457","934182","spp_1869",0.404742210637778
"458","841955","spp_1684",0.448914966545999
"459","193025","spp_387",0.349759106058627
"460","756017","spp_1513",0.455060176318511
"462","670550","spp_1342",0.349875977495685
"463","207006","spp_415",0.35155316744931
"464","838409","spp_1677",0.3382122234907
"469","757332","spp_1515",0.350367305567488
"470","557873","spp_1116",0.466174053959548
"472","850296","spp_1701",0.413001545472071
"473","670996","spp_1342",0.349875977495685
"476","912848","spp_1826",0.374086470110342
"477","793540","spp_1588",0.419518566457555
"479","713732","spp_1428",0.4025973607786
"480","287284","spp_575",0.425518643809482
"482","707305","spp_1415",0.380127796670422
"483","634827","spp_1270",0.370815454283729
