"","id","sp","trait"
"1","871850","spp_1744",0.376892035827041
"5","898674","spp_1798",0.322963236831129
"7","736883","spp_1474",0.347926349844784
"8","881009","spp_1763",0.30473552737385
"12","904337","spp_1809",0.322147892555222
"15","628305","spp_1257",0.252899024169892
"20","662903","spp_1326",0.308856933144853
"21","842353","spp_1685",0.372942218091339
"25","913432","spp_1827",0.214532347861677
"26","55852","spp_112",0.280615429859608
"27","261772","spp_524",0.212277892511338
"28","482368","spp_965",0.28653517877683
"32","251141","spp_503",0.319465095410123
"40","148859","spp_298",0.355959011008963
"51","751281","spp_1503",0.418583747930825
"58","718764","spp_1438",0.248953089816496
"59","315883","spp_632",0.297238280531019
"60","935564","spp_1872",0.230076493928209
"67","373544","spp_748",0.271135064773262
"76","383137","spp_767",0.248610071372241
"79","977478","spp_1955",0.363543333020061
"84","769681","spp_1540",0.325231118360534
"85","471448","spp_943",0.30330143426545
"86","646927","spp_1294",0.343917249003425
"87","816107","spp_1633",0.340225962223485
"90","170121","spp_341",0.242730066878721
"94","360905","spp_722",0.25625456054695
"95","672016","spp_1345",0.285721816122532
"98","447934","spp_896",0.1957995116245
"100","896278","spp_1793",0.252995006041601
"102","573452","spp_1147",0.30099816294387
"105","411621","spp_824",0.23480286099948
"112","568806","spp_1138",0.283859321614727
"113","824437","spp_1649",0.305611939635128
"114","513243","spp_1027",0.259919468080625
"116","278130","spp_557",0.339411534601822
"119","458899","spp_918",0.260825163219124
"121","631174","spp_1263",0.367847671266645
"126","824471","spp_1649",0.305611939635128
"129","584288","spp_1169",0.351505522150546
"135","307986","spp_616",0.299083581427112
"137","266303","spp_533",0.257707500131801
"143","799942","spp_1600",0.225473704747856
"147","355924","spp_712",0.326656053075567
"150","904082","spp_1809",0.322147892555222
"153","241985","spp_484",0.363528111483902
"154","882791","spp_1766",0.30034836824052
"159","350071","spp_701",0.296404224121943
"167","846534","spp_1694",0.392554005375132
"169","793356","spp_1587",0.328201092081144
"171","44411","spp_89",0.237927296431735
"174","662862","spp_1326",0.308856933144853
"177","829425","spp_1659",0.283282096032053
"180","797611","spp_1596",0.197470084531233
"182","482222","spp_965",0.28653517877683
"184","397498","spp_795",0.326562076807022
"185","29859","spp_60",0.335831823991612
"191","360872","spp_722",0.25625456054695
"194","405116","spp_811",0.322868141112849
"200","760863","spp_1522",0.244028264656663
"205","149328","spp_299",0.318494118517265
"206","755355","spp_1511",0.30964243481867
"208","893182","spp_1787",0.415593885816634
"213","162455","spp_325",0.33782767271623
"214","550173","spp_1101",0.377228437922895
"218","698967","spp_1398",0.298493659123778
"225","720421","spp_1441",0.29903563670814
"226","149147","spp_299",0.318494118517265
"228","818981","spp_1638",0.272625819779932
"229","458804","spp_918",0.260825163219124
"230","829039","spp_1659",0.283282096032053
"235","243115","spp_487",0.322000056738034
"239","215229","spp_431",0.380451056407765
"241","650252","spp_1301",0.353492929367349
"242","373834","spp_748",0.271135064773262
"245","360976","spp_722",0.25625456054695
"250","564038","spp_1129",0.296480393735692
"255","267287","spp_535",0.387282853247598
"259","840132","spp_1681",0.289768507704139
"261","251141","spp_503",0.319465095410123
"263","494714","spp_990",0.248400511918589
"264","383502","spp_768",0.330259051639587
"266","446779","spp_894",0.275138580705971
"268","757353","spp_1515",0.350367305567488
"269","550327","spp_1101",0.377228437922895
"272","559482","spp_1119",0.15351904835552
"273","69226","spp_139",0.288534032646567
"275","927105","spp_1855",0.275777772767469
"278","678736","spp_1358",0.436238173395395
"280","281094","spp_563",0.31234718975611
"285","669345","spp_1339",0.231682914542034
"287","896211","spp_1793",0.252995006041601
"288","678736","spp_1358",0.436238173395395
"291","401775","spp_804",0.338667798088863
"292","324909","spp_650",0.206943233730271
"296","323347","spp_647",0.41138336295262
"299","448156","spp_897",0.419699385063723
"300","401860","spp_804",0.338667798088863
"303","539697","spp_1080",0.273029030533507
"305","673504","spp_1348",0.370349382050335
"309","12491","spp_25",0.295931008644402
"312","835681","spp_1672",0.287222498096526
"313","145308","spp_291",0.309805518016219
"314","85224","spp_171",0.272912075510249
"316","539697","spp_1080",0.273029030533507
"321","576020","spp_1153",0.267553218873218
"322","631340","spp_1263",0.367847671266645
"326","346582","spp_694",0.310100218513981
"329","899428","spp_1799",0.148367998655885
"336","96333","spp_193",0.337953590555117
"337","654983","spp_1310",0.288548931479454
"338","100177","spp_201",0.157163736410439
"340","219462","spp_439",0.370697938837111
"342","475199","spp_951",0.371444566175342
"344","646811","spp_1294",0.343917249003425
"349","482298","spp_965",0.28653517877683
"350","979499","spp_1959",0.284526522271335
"355","816233","spp_1633",0.340225962223485
"358","962480","spp_1925",0.323486604960635
"359","538958","spp_1078",0.381311206379905
"360","428095","spp_857",0.269468737998977
"361","230036","spp_461",0.232521918369457
"369","570423","spp_1141",0.196994591737166
"370","8475","spp_17",0.282181321643293
"371","350018","spp_701",0.296404224121943
"372","667281","spp_1335",0.321500947000459
"378","153507","spp_308",0.154985331697389
"379","475216","spp_951",0.371444566175342
"387","306054","spp_613",0.350183507427573
"388","638142","spp_1277",0.248212916543707
"392","793270","spp_1587",0.328201092081144
"394","763835","spp_1528",0.268707164563239
"395","524479","spp_1049",0.358443386154249
"398","294827","spp_590",0.299514480866492
"404","435974","spp_872",0.261502943467349
"410","110556","spp_222",0.287850733380765
"412","760823","spp_1522",0.244028264656663
"413","417444","spp_835",0.314226427581161
"414","68706","spp_138",0.249119259417057
"415","174871","spp_350",0.281697742408141
"420","541175","spp_1083",0.338983849389479
"426","437025","spp_875",0.256057680817321
"428","68999","spp_138",0.249119259417057
"430","79372","spp_159",0.252226697979495
"437","164696","spp_330",0.244810323929414
"440","315467","spp_631",0.306215226883069
